Track,Album Name,Artist,Release Date,All Time Rank,YouTube Views,TikTok Views,Explicit Track
SLAY!,SLAY!,Eternxlkz,3/15/2024,2471.0,21914068.0,40996820.0,1
Roses (with Juice WRLD feat. Brendon Urie),Roses (with Juice WRLD feat. Brendon Urie),benny blanco,12/5/2018,2772.0,40942190.0,41147911.0,1
Desconocidos,Desconocidos,Mau y Ricky,10/12/2018,2006.0,1178040262.0,41170418.0,1
BOTH,BOTH,Tiï¿½ï¿,8/29/2023,4048.0,10032098.0,41222378.0,0
CUTE DEPRESSED,Cute Depressed - Single,Dyan Dxddy,2/2/2024,3726.0,36326774.0,41400000.0,1
Fake Love,Crowd Pleasers,Drake,1/27/2017,3161.0,56482887.0,41423093.0,1
Melhor Sï¿,Melhor Sï¿,KayBlack,3/30/2023,3085.0,104014904.0,41424590.0,0
Psycho,Psycho (feat. Ty Dolla $ign),Post Malone,2/23/2018,650.0,1316530001.0,41586060.0,1
Down Below,Feed Tha Streets II,Roddy Ricch,11/2/2018,1591.0,521443401.0,41728771.0,1
You should be sad,You should be sad,Halsey,11/8/2019,4490.0,61717959.0,41811499.0,1
Good To Be,Good To Be,Mark Ambor,10/17/2023,4192.0,10815357.0,42031379.0,0
When It Rains It Pours,This One's for You,Luke Combs,6/2/2017,2258.0,576510087.0,42065642.0,0
Wild Ones (feat. Sia),Good Feeling EP,Flo Rida,1/1/2011,2983.0,692934603.0,42235895.0,0
do re mi,do re mi,blackbear,3/18/2017,4335.0,324660885.0,42240263.0,1
Yaar Ka Sataya Hua Hai (feat. Nawazuddin Siddiqui),Yaar Ka Sataya Hua Hai,B Praak,7/3/2023,4060.0,147259041.0,42269499.0,0
Go Crazy,Slime & B,Young Thug,5/5/2020,721.0,363333168.0,42692526.0,1
Budapest,Did You Hear the Rain?,George Ezra,11/3/2013,3646.0,265620751.0,42711557.0,0
Vette Motors,Vette Motors - Single,YoungBoy Never Broke Again,6/10/2022,3814.0,88959234.0,42977111.0,1
Tequila,Tequila,Dan + Shay,1/10/2018,4092.0,54165764.0,43174144.0,0
South of the Border (feat. Camila Cabello & Cardi B),South of the Border (feat. Camila Cabello & Cardi B),Ed Sheeran,7/11/2019,2665.0,419150011.0,43199667.0,0
Hypnotized,Hypnotized,Purple Disco Machine,4/8/2020,2419.0,213371276.0,43216239.0,0
Ya No Tiene Novio,Ya No Tiene Novio,Sebastian Yatra,8/10/2018,2834.0,1077954732.0,43241693.0,0
Take My Name,Songs from 'For You',Parmalee,7/9/2021,3032.0,13919928.0,43546200.0,0
Righteous,Righteous,Juice WRLD,4/24/2020,2749.0,293505196.0,43552260.0,1
If You Want Love,Perception,NF,10/6/2017,3877.0,308466086.0,43620157.0,0
redrum,american dream,21 Savage,1/12/2024,87.0,105148629.0,43993800.0,1
FERXXO 151,FERXXO 151,Feid,8/25/2023,2587.0,54351042.0,44045683.0,0
Firestone,Running Hits - 2015.02,Kygo,2/9/2015,1928.0,1040406066.0,44057930.0,0
Una Vez,YHLQMDLG,Bad Bunny,2/29/2020,3141.0,349516218.0,44061028.0,1
De Vuelta Pa' La Vuelta,De Vuelta Pa' La Vuelta,Daddy Yankee,12/10/2020,3910.0,426336235.0,44074315.0,0
Corazï¿½,Corazï¿½,Maluma,11/3/2017,1251.0,1871767126.0,44176203.0,0
Outside Today,Outside Today,YoungBoy Never Broke Again,1/11/2018,4561.0,262512471.0,44191712.0,1
Titliaan,Titliaan,Afsana Khan,11/9/2020,1820.0,996649537.0,44461309.0,0
Mourning,Mourning,Post Malone,5/19/2023,1938.0,51153469.0,44574455.0,1
BEST ON EARTH (feat. BIA) - Bonus,BEST ON EARTH (feat. BIA),Russ,10/18/2019,3665.0,66409032.0,44773047.0,1
Million Dollar Baby,Million Dollar Baby,Ava Max,9/1/2022,3198.0,54371720.0,44940300.0,0
She Got the Best of Me,This One's for You Too (Deluxe Edition),Luke Combs,6/1/2018,2862.0,358325972.0,45145253.0,0
Cry,Fireworks & Rollerblades,Benson Boone,4/5/2024,1589.0,9235207.0,45173400.0,0
MONEY AND VIBES,MONEY AND VIBES,Nemzzz,10/19/2023,3985.0,3551154.0,45531637.0,1
"Going, Going, Gone",Growin' Up,Luke Combs,6/24/2022,2139.0,43607584.0,45564333.0,0
No Es por Acï¿,No Es por Acï¿½ï¿½ - Si,Carin Leon,7/8/2022,1543.0,385663277.0,45584468.0,0
Don't Call Me Up,Ivy To Roses (Mixtape),Mabel,1/18/2019,1935.0,460509010.0,45585575.0,0
Why'd You Only Call Me When You're High?,Why''d You Only Call Me When You''re High?,Arctic Monkeys,1/1/2013,3008.0,527397003.0,45596295.0,0
Camelot,Camelot,NLE Choppa,9/13/2019,2854.0,299438117.0,45616164.0,1
Takeaway,World Wide Joy...Takeaway,The Chainsmokers,7/24/2019,4305.0,245967184.0,45789592.0,0
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,1162.0,13707215.0,45866138.0,1
Bom Diggy,Bom Diggy - Single,Zack Knight,8/24/2017,3464.0,1292844409.0,45939694.0,0
Skin and Bones,Skin and Bones,David Kushner,1/19/2024,3744.0,19123011.0,45949903.0,0
Only Human,Happiness Begins,Jonas Brothers,6/7/2019,2634.0,136979542.0,45970559.0,0
MODELITO,PARAISO,Mora,11/3/2022,4402.0,38256899.0,46029571.0,1
DEUTSCHLAND,DEUTSCHLAND,Rammstein,3/28/2019,4296.0,370078966.0,46078194.0,0
Get In With Me,Get In With Me - Single,Bossman Dlow,1/19/2024,818.0,45484183.0,46178900.0,1
Welcome To The Party,Welcome To The Party,Pop Smoke,5/22/2019,4531.0,267792071.0,46409820.0,1
Proteï¿½ï¿½ï¿½ï¿½o,EP Meu Sonho - Pt. 2,Tarcï¿½ï¿½sio do Acor,7/2/2021,4232.0,390456652.0,46539050.0,0
Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,10/4/2018,2267.0,503301861.0,46571795.0,1
Dial Drunk,Stick Season (We'll All Be Here Forever),Noah Kahan,6/9/2023,1690.0,18883499.0,46583057.0,1
Right On,Right On,Lil Baby,4/8/2022,3106.0,124159378.0,46858425.0,1
White Horse,White Horse,Chris Stapleton,7/21/2023,711.0,38442511.0,47123023.0,0
Me And My Broken Heart,Power Hits 2014,Rixton,1/1/2014,3563.0,535024991.0,47138593.0,0
HONEY (ARE U COMING?),RUSH!,Mï¿½ï¿½ne,1/20/2023,4083.0,37691895.0,47259081.0,0
PERSIAN RUGS,PARTYPACK,PARTYNEXTDOOR,10/16/2020,3840.0,14448833.0,47272619.0,1
"You're Gonna Go Far, Kid","Rise And Fall, Rage And Grace",The Offspring,6/12/2008,4334.0,336220628.0,47328081.0,1
I Wrote The Book,3 Songs At A Time Sampler,Morgan Wallen,1/31/2023,2984.0,22406782.0,47494771.0,0
Exclusive.mp3,.mp3,Emilia,11/3/2023,3054.0,60343754.0,47619658.0,0
Double Fantasy (with Future),Double Fantasy,The Weeknd,4/21/2023,2597.0,51093878.0,47997951.0,1
You Make It Easy,You Make It Easy,Jason Aldean,1/26/2018,2066.0,149557856.0,48036714.0,0
Slippery (feat. Gucci Mane),Culture,Migos,1/27/2017,4474.0,115314262.0,48083562.0,1
Hasta Que Dios Diga,Emmanuel,Anuel AA,5/29/2020,2071.0,485818371.0,48119818.0,1
What A Man Gotta Do,What A Man Gotta Do,Jonas Brothers,1/17/2020,4104.0,151335556.0,48126470.0,0
Saving Up,Saving Up,Dom Dolla,10/6/2023,3516.0,1482245.0,48264636.0,0
Vaaste,Vaaste,Dhvani Bhanushali,4/6/2019,1540.0,1598106066.0,48358536.0,0
Swag Se Swagat,Tiger Zinda Hai (Original),Neha Bhasin,12/12/2017,3716.0,1179253796.0,48439256.0,0
HP,HP,Maluma,3/1/2019,1997.0,978997170.0,48469382.0,1
Speechless (Full),Aladdin (Original Motion Picture Soundtrack),Naomi Scott,5/22/2019,4432.0,536055555.0,48485307.0,0
Bitch Let's Do It,Richest Opp,YoungBoy Never Broke Again,5/12/2023,1600.0,69966850.0,48621537.0,1
Nevada,Nevada,YoungBoy Never Broke Again,1/30/2021,2251.0,109858521.0,48854928.0,1
I Knew You Were Trouble.,I Knew You Were Trouble.,Taylor Swift,1/1/2012,2809.0,545463966.0,48882930.0,0
Put It On Da Floor Again (feat. Cardi B),Put It On Da Floor Again (feat. Cardi B) - Single,Latto,6/2/2023,1572.0,118897128.0,48946625.0,1
Turn Yo Clic Up (feat. Future),Turn Yo Clic Up (feat. Future),Quavo,7/14/2023,1593.0,44841616.0,48989328.0,1
Don't Wanna Know (feat. Kendrick Lamar),Don't Wanna Know,Maroon 5,10/11/2016,2055.0,936997565.0,49143641.0,0
Oklahoma Smokeshow,Summertime Blues,Zach Bryan,7/15/2022,3193.0,62279409.0,49171406.0,0
After LIKE,After LIKE - Single,IVE,8/22/2022,2169.0,281724902.0,49211096.0,0
Avalon,Avalon,$uicideboy$,5/21/2021,3723.0,49001959.0,49284460.0,1
Volvï¿,Volvï¿½ï¿½ - Si,Aventura,8/3/2021,1833.0,89683527.0,49294071.0,1
Matte Black,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,7/29/2022,3938.0,82186979.0,49371617.0,1
Wet Dreamz,2014 Forest Hills Drive,J. Cole,12/9/2014,2724.0,280151086.0,49460597.0,1
F**kin' Problems,F**kin' Problems,A$AP Rocky,10/24/2012,3138.0,376403733.0,49465552.0,1
The Heart Part 5,The Heart Part 5,Kendrick Lamar,5/8/2022,4470.0,55825164.0,49727704.0,1
What Lovers Do (feat. SZA),What Lovers Do (feat. SZA),Maroon 5,8/30/2017,1763.0,729438090.0,50038733.0,0
Starting Over,Starting Over,Chris Stapleton,8/27/2020,2134.0,174357045.0,50043423.0,0
Wind Up Missin' You,Wind Up Missin' You - Single,Tucker Wetmore,3/29/2024,2116.0,6718753.0,50112477.0,1
STARGAZING,ASTROWORLD,Travis Scott,8/3/2018,3887.0,211251366.0,50313512.0,1
No Limit,No Limit,G-Eazy,9/7/2017,2118.0,814200168.0,50335494.0,1
By Your Side,By Your Side,Rod Wave,11/22/2021,2303.0,111437165.0,50358850.0,1
Maybach (feat. Future),Free Dem Boyz,42 Dugg,5/21/2021,3014.0,216661579.0,50774936.0,1
Say Don't Go (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,4463.0,11719848.0,50830371.0,0
Mr Pot Scraper,Mr Pot Scraper - Single,Bossman Dlow,2/23/2024,1446.0,32474495.0,51520600.0,1
Ready For Love,BORN PINK,BLACKPINK,9/16/2022,4163.0,243509528.0,51526563.0,0
lo que hay x aquï¿,lo que hay x aquï¿,Rels B,3/10/2023,3868.0,57156070.0,51766245.0,0
Off The Record,Off The Record,IVE,10/6/2023,4064.0,67978137.0,51771253.0,0
Kernkraft 400 (A Better Day),Kernkraft 400 (A Better Day),Topic,6/17/2022,3543.0,14115131.0,51987916.0,0
Overdrive,Overdrive,Post Malone,7/14/2023,3669.0,9721972.0,52127762.0,0
Aynen,Hermano,Heijan,4/28/2023,3663.0,132663199.0,52142540.0,0
Bijlee Bijlee,Bijlee Bijlee - Single,Harrdy Sandhu,10/30/2021,1832.0,653915314.0,52219515.0,0
Mas Altas Que Bajadas,Nata Montana,Natanael Cano,6/30/2023,2288.0,140916381.0,52545729.0,1
Kiss Me,Songs of Sonder,Dermot Kennedy,9/2/2022,1973.0,60539963.0,52556917.0,0
ýýCuýýl Es Su Nombre?,El De La Nueva Baby,Lucky Brown,9/14/2023,2041.0,127280465.0,52933390.0,1
Privileged Rappers,Her Loss,Drake,11/4/2022,3330.0,25641544.0,52937881.0,1
Tourniquet,Zach Bryan,Zach Bryan,8/25/2023,3084.0,4864924.0,53019644.0,1
Una Locura,ENOC,Ozuna,9/4/2020,1732.0,634293431.0,53047506.0,0
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,7/27/2023,270.0,30685665.0,53065653.0,1
Move,Move - Single,Adam Port,6/7/2024,459.0,1541922.0,53279473.0,0
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,7/29/2014,2531.0,290207058.0,53454696.0,1
The Painter,The Painter - Single,Cody Johnson,8/11/2023,1298.0,11577220.0,53554260.0,0
Faster n Harder,Faster n Harder,6arelyhuman,2/28/2024,1639.0,28519638.0,53668207.0,1
You Know You Like It,You Know You Like It,DJ Snake,10/14/2014,3465.0,191257884.0,53859932.0,0
Not So Bad (Leans Gone Cold),Sremm 4 Life,Rae Sremmurd,4/7/2023,3230.0,55687483.0,53885377.0,1
Bebe (feat. Anuel AA),Bebe (feat. Anuel AA),Ozuna,6/21/2017,1632.0,2051112014.0,54075721.0,0
UN DIA (ONE DAY) (Feat. Tainy),UN DIA (ONE DAY) (Feat. Tainy),J Balvin,7/24/2020,1629.0,459178965.0,54201520.0,0
Woo Baby (feat. Chris Brown),Faith,Pop Smoke,7/16/2021,4482.0,59647655.0,54292475.0,1
'Till I Collapse,The Eminem Show,Eminem,5/26/2002,2651.0,1463549979.0,54356279.0,1
TABU.,TABU.,Yung Yury,3/17/2023,4009.0,7522346.0,54432181.0,0
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,9/30/2016,2427.0,568942313.0,54450631.0,0
Bolide allemand,Liens du 100,SDM,12/1/2022,2711.0,129655800.0,54647905.0,1
Feels Like Summer,Summer Pack,Childish Gambino,7/11/2018,4071.0,392128653.0,54727766.0,0
Coal,Coal,Dylan Gossett,7/27/2023,1661.0,17596251.0,55041835.0,0
Through Da Storm,Die A Legend,Polo G,6/7/2019,1800.0,186297690.0,55106493.0,1
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,Ana Castela,7/7/2023,1051.0,291263121.0,55226429.0,0
Dayanamï¿½ï¿½y,Dayanamï¿½ï¿½yorum - Si,Kerim Araz,3/6/2023,4534.0,152880323.0,55394779.0,0
Mi Bello Angel,Nata Montana,Natanael Cano,6/30/2023,1421.0,146063277.0,55484022.0,1
Fighting My Demons,A Great Chaos,Ken Carson,10/13/2023,2015.0,4542549.0,55497007.0,1
Ay Vamos,Superventas 2015,J Balvin,3/3/2014,1966.0,2103164374.0,55635484.0,0
Hey Driver (feat. The War and Treaty),Hey Driver (feat. The War and Treaty),Zach Bryan,8/24/2023,1552.0,18831939.0,55929921.0,0
Goin Baby,Baby On Baby,DaBaby,3/1/2019,4248.0,75234764.0,55987733.0,1
My Way,My Way,Calvin Harris,9/16/2016,2636.0,615907345.0,56011096.0,0
Love Lies (with Normani),Love Lies,Khalid,2/14/2018,1865.0,479514227.0,56608149.0,1
Si Supieras,Si Supieras,Daddy Yankee,6/28/2019,3677.0,605370523.0,56631793.0,0
Around Me (feat. Don Toliver),HEROES & VILLAINS,Metro Boomin,12/2/2022,3238.0,15012510.0,56806507.0,1
MIDDLE CHILD,TrapStar Turnt PopStar,PnB Rock,5/2/2019,3590.0,111536750.0,56902607.0,1
Besos En Guerra,Besos En Guerra,Morat,11/3/2017,4298.0,766215457.0,56940681.0,0
Religiously,Religiously,Bailey Zimmerman,3/17/2023,1178.0,23904394.0,56949752.0,0
Better Place (From TROLLS Band Together),Better Place (From TROLLS Band Together),*NSYNC,9/29/2023,4095.0,27951941.0,57013361.0,0
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/2023,1183.0,12196961.0,57109846.0,0
Bad Things (with Camila Cabello),Bad Things,mgk,10/14/2016,3226.0,570116637.0,57154966.0,0
"Illegal Weapon 2.0 (From ""Street Dancer 3D"")","Illegal Weapon 2.0 (From ""Street Dancer 3D"")",Jasmine Sandlas,1/4/2020,4434.0,643258603.0,57212956.0,0
23 Preguntas,23 Preguntas - Single,Anuel AA,8/23/2021,4158.0,284578688.0,57372493.0,1
VVS Switch,VVS Switch,Pressure 9X19,10/10/2023,3929.0,68122505.0,57791681.0,1
DUELE EL CORAZON,The RCA-List (Vol. 2),Enrique Iglesias,1/1/2016,2100.0,1571210815.0,57898629.0,0
Sharks,Sharks,Imagine Dragons,6/24/2022,1579.0,194184325.0,57932068.0,0
Me Enterï¿,Me Enterï¿,Tiago PZK,5/18/2023,3077.0,109364201.0,58143056.0,0
Pacas De Billetes,Pacas De Billetes,Natanael Cano,5/1/2023,1634.0,206543945.0,58160087.0,1
Dancing On My Own,Dancing On My Own,Calum Scott,3/11/2016,2154.0,823692209.0,58183913.0,0
Trance (with Travis Scott & Young Thug),HEROES & VILLAINS,Metro Boomin,12/2/2022,429.0,25776208.0,58477615.0,1
Cuando Te Besï¿,Cuando Te Besï¿,Becky G,8/2/2018,2240.0,1114556086.0,58539891.0,0
Call Me Every Day (feat. WizKid),Call Me Every Day (feat. WizKid),Chris Brown,6/17/2022,2174.0,123551829.0,58980168.0,0
Black Friday,Black Friday,Tom Odell,9/20/2023,2616.0,11445116.0,59075543.0,0
Dientes,Dientes,J Balvin,9/15/2023,2721.0,16445144.0,59118842.0,1
Whistle,Whistle (feat. Calum Scott),Jax Jones,2/10/2023,1859.0,31790864.0,59124615.0,0
Rich Nigga Shit (feat. Young Thug),SAVAGE MODE II,21 Savage,10/2/2020,3166.0,35285134.0,59408058.0,1
Desejo Imortal (It Must Have Been Love),Desejo Imortal (It Must Have Been Love),Gusttavo Lima,4/13/2023,1666.0,293231902.0,59451815.0,0
Deja Vu,minisode 3: TOMORROW,TOMORROW X TOGETHER,4/1/2024,832.0,70842688.0,59546295.0,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,Parkmalody,10/14/2023,1804.0,65378730.0,59606925.0,0
Broke In A Minute,Broke In A Minute,Tory Lanez,2/7/2020,2186.0,44157454.0,59673227.0,1
La Difï¿½ï¿,YHLQMDLG,Bad Bunny,2/29/2020,3112.0,304269630.0,59989029.0,1
"Mann Bharryaa 2.0 (From ""Shershaah"")","Mann Bharryaa 2.0 (From ""Shershaah"")",B Praak,8/15/2021,4424.0,365670176.0,60033835.0,0
Poco A Poco,Poco A Poco - Single,Xavi,9/23/2023,2514.0,41149970.0,60287119.0,0
Yï¿½ï¿½reï¿½ï¿½i,Yï¿½ï¿½reï¿½ï¿½i,Amo988,9/15/2023,2841.0,104439157.0,60449279.0,0
Watermelon Moonshine,Songs From Bell Bottom Country,Lainey Wilson,8/12/2022,4338.0,33423008.0,60524288.0,0
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,5/20/2014,1318.0,1569239627.0,60584088.0,0
Vamos Para Arriba,Vamos Para Arriba,Junior H,6/3/2022,3156.0,236583955.0,60653564.0,1
One Man Band,Old Dominion,Old Dominion,1/18/2019,3132.0,225336788.0,60781778.0,0
Dil Diyan Gallan,Tiger Zinda Hai (Original),Atif Aslam,12/12/2017,2801.0,1326806818.0,60784930.0,0
Traicionera,Traicionera,Sebastian Yatra,6/24/2016,4559.0,795920437.0,60797733.0,0
vendetta!,vendetta!,MUPP,5/20/2022,2773.0,51618223.0,60936894.0,1
Yana Yana,Yana Yana,Semicenk,2/3/2023,3353.0,167722502.0,60945277.0,0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,3/31/2022,2241.0,459414543.0,61427214.0,0
Focus,Focus,Ariana Grande,10/30/2015,4551.0,1033104472.0,61451981.0,0
Already Dead,Already Dead,Juice WRLD,11/12/2021,4566.0,46890832.0,61564975.0,1
Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition),Mona Lisa - Spider-Man: Across the Spider-Verse (Deluxe Edition) - Single,Dominic Fike,6/2/2023,2159.0,445811.0,61668626.0,0
Tu Aake Dekhle,The Carnival,King,9/21/2020,2629.0,619113386.0,61728216.0,0
Stumblin' In,Stumblin' In,CYRIL,11/10/2023,394.0,29260192.0,61731912.0,0
Overdrive (feat. Norma Jean Martine),Overdrive (feat. Norma Jean Martine),Ofenbach,10/6/2023,437.0,59799293.0,61820477.0,0
Substitution,Substitution,Purple Disco Machine,3/30/2023,737.0,87739719.0,61830611.0,0
Ocean Drive,Ocean Drive,Duke Dumont,7/31/2015,4246.0,139990813.0,61873397.0,0
Perfect Strangers,Perfect Strangers,Jonas Blue,6/3/2016,2664.0,917728451.0,62167288.0,0
Hola - Remix,Hola (Remix),Dalex,11/1/2019,3900.0,258358932.0,62179337.0,0
Famous Friends,Famous Friends,Chris Young,11/20/2020,4235.0,37838695.0,62353303.0,0
Stand By Me (feat. Morgan Wallen),Almost Healed,Lil Durk,5/26/2023,1978.0,27715495.0,62570724.0,1
Do It,VULTURES 1,Kanye West,2/9/2024,3503.0,971307.0,62692000.0,1
JEALOUSY (feat. Cardi B),JEALOUSY (feat. Cardi B),Offset,7/28/2023,2907.0,31124272.0,62820921.0,1
Pure Cocaine,Street Gossip,Lil Baby,11/30/2018,928.0,317320682.0,62837382.0,1
Crazy Form,THE WORLD EP.FIN : WILL,ATEEZ,12/1/2023,1765.0,123416768.0,62979168.0,0
The London (feat. J. Cole & Travis Scott),The London (feat. J. Cole & Travis Scott),Young Thug,5/23/2019,1438.0,286183927.0,63035109.0,1
Wide Awake,538 Hitzone 63,Katy Perry,1/1/2012,3681.0,1129883893.0,63097743.0,0
Addicted,Addicted (feat. Ink) - Single,Zerb,3/29/2024,1170.0,320436.0,63352002.0,1
Phir Bhi Tumko Chaahunga,Half Girlfriend,Mithoon,4/30/2017,4378.0,1074239950.0,63379747.0,0
Long Journey,Nostalgia,Rod Wave,9/15/2023,3765.0,16885737.0,63529208.0,1
Love Galore,Love Galore,SZA,4/27/2017,4313.0,211546057.0,63600775.0,1
Is It Love,Is It Love,Loreen,10/13/2023,2252.0,16708048.0,63753450.0,0
Ando Enfocado,Ando Enfocado,Jaziel Avilez,11/18/2022,3278.0,168330437.0,63785723.0,0
Boyz Don't Cry,Boyz Don't Cry,Rod Wave,9/13/2023,2061.0,19153480.0,63874274.0,0
Say It,Say It,Tory Lanez,7/31/2015,2447.0,486163241.0,63978184.0,1
How To Love,Tha Carter IV (Deluxe),Lil Wayne,1/1/2011,4130.0,369321004.0,64070340.0,0
Chorei na Vaquejada,Chorei na Vaquejada,Eric Land,4/14/2023,4462.0,118976231.0,64087674.0,0
Impossible,Impossible - Single,RIIZE,4/18/2024,2533.0,29637408.0,64226700.0,0
AHHH HA,AHHH HA,Lil Durk,2/22/2022,4024.0,128163786.0,64467510.0,1
Colors,Colors,Black Pumas,4/16/2019,4014.0,291742629.0,64559724.0,0
DJ Got Us Fallin' In Love,Europa FM Presenta Europa Baila,USHER,1/1/2010,3402.0,485860020.0,64589027.0,0
"10,000 Hours (with Justin Bieber)","10,000 Hours (with Justin Bieber)",Dan + Shay,10/4/2019,3215.0,361854211.0,64709989.0,0
Street Runner,Street Runner,Rod Wave,3/10/2021,1961.0,296510850.0,64791187.0,1
DISCOTEKA (feat. Locura Mix),DISCOTEKA (feat. Locura Mix),The La Planta,2/16/2023,4001.0,142372911.0,64861163.0,0
messy in heaven,messy in heaven,venbee,9/23/2022,2779.0,25495861.0,64940140.0,0
Location (feat. Burna Boy),PSYCHODRAMA,Dave,3/8/2019,2490.0,281620086.0,65403430.0,1
Down Bad,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,504.0,18713330.0,65541536.0,1
River,Endless Summer Vacation,Miley Cyrus,3/10/2023,4032.0,51695313.0,65838521.0,0
Love Again,Love Again,The Kid LAROI,1/27/2023,1342.0,28993149.0,65897455.0,0
Vaina Loca,Vaina Loca,Ozuna,6/28/2018,1963.0,1084871772.0,66017796.0,0
White Iverson,White Iverson,Post Malone,6/13/2013,3918.0,40791444.0,66145174.0,1
Now That We Don't Talk (Taylor's Version) (From The Vault),1989 (Taylor's Version),Taylor Swift,10/26/2023,2999.0,15244891.0,66176311.0,0
Un Ratito,Un Verano Sin Ti,Bad Bunny,5/6/2022,1990.0,204437602.0,66367676.0,0
PUFFIN ON ZOOTIEZ,I NEVER LIKED YOU,Future,4/29/2022,560.0,117364602.0,66661123.0,1
Can't Have Mine,Can't Have Mine - Single,Dylan Scott,2/18/2022,4170.0,16119088.0,66770114.0,0
3D (feat. Jack Harlow),3D (feat. Jack Harlow),Jung Kook,9/29/2023,559.0,166687005.0,66859275.0,1
B.S. (feat. H.E.R.),Chilombo,Jhenï¿½ï¿½ ,3/6/2020,4539.0,144344028.0,66918543.0,1
El Perdï¿½,Full Circle: The Live Anthology,Nicky Jam,11/20/2011,2108.0,1937330456.0,67188077.0,0
Pussy & Millions (feat. Travis Scott),Her Loss,Drake,11/4/2022,1712.0,13496528.0,67251486.0,1
Nikle Currant,Nikle Currant,Jassie Gill,10/12/2018,4047.0,929048943.0,67416406.0,0
Chlorine,Trench,Twenty One Pilots,10/5/2018,2425.0,721254947.0,67549016.0,0
Asylum,Avana (Deluxe),Olivetheboy,3/1/2024,1940.0,3218219.0,67702628.0,0
Adictiva,Adictiva,Daddy Yankee,11/9/2018,3817.0,587689921.0,67856339.0,0
Time Today,Time Today,Moneybagg Yo,2/3/2021,2785.0,109977159.0,67883730.0,1
Deixa,Deixa,Maria Marï¿½ï,3/21/2023,2467.0,254836186.0,67989343.0,0
Chained To The Rhythm,Chained To The Rhythm,Katy Perry,2/10/2017,3354.0,798537539.0,68206300.0,0
Paradise (feat. Dermot Kennedy),Paradise,MEDUZA,10/30/2020,1679.0,133061832.0,68206557.0,0
Copa Vacï¿½,Copa Vacï¿½ï¿½a - Si,Shakira,6/29/2023,4040.0,13918496.0,68517237.0,0
"Welcome To Rosas - From ""Wish""","Welcome To Rosas (From ""Wish"")",Ariana DeBose,11/1/2023,699.0,4496444.0,68519117.0,0
I'll Be Waiting,I'll Be Waiting,Cian Ducrot,11/10/2022,2756.0,35977202.0,68670799.0,0
Be Like That - feat. Swae Lee & Khalid,Be Like That (feat. Swae Lee & Khalid),Kane Brown,7/10/2020,3040.0,147151901.0,68851923.0,0
Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich ,Conexï¿½ï¿½es de Mï¿½ï¿½fia (feat. Rich The Kid) ,Matuï¿,4/30/2023,2453.0,113216772.0,68969483.0,1
BOUNCY (K-HOT CHILLI PEPPERS),THE WORLD EP.2 : OUTLAW,ATEEZ,6/16/2023,3024.0,143134654.0,69044436.0,0
No Time To Die,No Time To Die,Billie Eilish,2/13/2020,2388.0,369182880.0,69072143.0,0
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,3510.0,262992730.0,69189680.0,1
Stole the Show,Stole the Show,Kygo,3/23/2015,3913.0,530786123.0,69198449.0,0
La Santa,YHLQMDLG,Bad Bunny,2/29/2020,2361.0,372427636.0,69210381.0,1
XXL,EL CHAVO,UZI,9/9/2022,3962.0,246582532.0,69529104.0,1
Only Fine Girl,Only Fine Girl - Single,Spyro,9/29/2023,3816.0,2189347.0,69943676.0,0
Stuck In The Middle,BABYMONSTER Pre-Release Single [Stuck In The Middle],BABYMONSTER,2/1/2024,972.0,147951356.0,70103300.0,0
LDR,LDR,Shoti,8/27/2022,1365.0,592859063.0,70116244.0,0
Me Acostumbre (feat. Bad Bunny),Me Acostumbre (feat. Bad Bunny),Arcï¿½ï¿½,4/11/2017,4593.0,866300755.0,70196388.0,1
Sigue,Capï¿½ï¿½tu,Beny Jr,4/1/2022,2008.0,173482368.0,70560340.0,0
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,6/10/2014,2197.0,858285365.0,70600246.0,1
Jumbotron Shit Poppin,Her Loss,Drake,11/4/2022,2635.0,37702345.0,70817893.0,1
